Kg;K;I0;I02;n;n2;Rp;Rs;Ki;Isc;Voc;ns;Error;Voc_flash;Isc_flash;ErrorI;ErrorPrI;ErrorImpp;ErrorVmpp;ErrorPmpp;errorPmppAbs;ErrorPmppSystematic;Kg15min;ModuleId;tempOffset;valid;Ios;Vos;Pmpp;Vmpp;Impp;Name;Date
1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,3877787807814457e-16,1,3877787807814457e-16,0,390151382356797,0,6339416274080614,0,8396736272461499,0,8987244312205791,0,899044489778707,0,8990444897787068,0,8612775799197209,0,8396736272461496,0,7114901747162924,0,4839285398880041,0,20355724296876387,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;1,8e-10;0;1;1;140;0,505;0,0004;5,5200000000000005;44,53;72;8,887920014017615;44,74;5,65;0,12208862184432039;-0,014784199187882319;3,6457990369053186;1,9984557847143087;3,1215765705536676;2,2622693356021646;0,05143206638993;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,23487374188703516,0,390151382356797,0,47496690026044847,0,5398321013741846,0,5876275127211478,0,6339416274080614,0,7124503503906727,0,7633396611328633,0,7766754343881541,0,8396736272461502,0,8552231388618183,0,8396736272461499,0,8940969179009923,0,9361712825214368,0,9174478568710078,0,8987244312205791,0,8987244312205793,0,9548947081718653,0,9174478568710078,0,9541745764160788,0,899044489778707,0,8990444897787068,0,9174478568710078,0,9174478568710078,0,9541745764160788,0,9361712825214368,0,9329706969401665,0,8987244312205792,0,8612775799197209,0,845327995106392,0,8396736272461496,0,8940969179009923,0,8612775799197206,0,839385673327341,0,8015066441895076,0,7114901747162924,0,712450350390674,0,6219804646267773,0,5771643638085524,0,5145474752821522,0,4839285398880041,0,3901513823567969,0,31664460017363194,0,26491760530399766,0,20355724296876387,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc1f39;0;true;5,50016013602434;44,55899999998685;181,82712937735053;36,50000000000025;4,981565188420529;String 2,4;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,4240775895182577,0,633289200347264,0,8396736272461502,0,8987244312205791,0,8987244312205792,0,9361712825214368,0,8612775799197209,0,8396736272461496,0,7251726780762205,0,4925582669367611,0,21507935106133513,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;2,8e-10;0;1;1;140;0,30700000000000005;0,0004;5,5200000000000005;44,53;72;10,724168585468064;44,74;5,65;0,12043576383711815;-0,04436896201703222;3,404580526057066;3,34749882289761;3,8516534726762695;2,3786626465580114;0,1727548896145494;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,2657552894314416,0,4240775895182577,0,46681156200048235,0,524255918212005,0,5725047458496473,0,633289200347264,0,6870056950195769,0,7489370260171493,0,7916115004340806,0,8396736272461502,0,8552231388618183,0,8612775799197205,0,8778406103027931,0,9361712825214368,0,9174478568710078,0,8987244312205791,0,9160075933594373,0,9548947081718653,0,9188347772895579,0,9499338005208969,0,8987244312205792,0,950912441112093,0,9361712825214368,0,9361712825214368,0,9361712825214368,1,0,9555881683811397,0,8987244312205791,0,8612775799197209,0,8778406103027923,0,8396736272461496,0,8778406103027931,0,8987244312205791,0,845327995106392,0,8238307286188645,0,7350678218316463,0,7251726780762205,0,6365964721145767,0,5991496208137204,0,5325774407233066,0,4925582669367611,0,39943308054247983,0,3225083890657364,0,28184849026444164,0,21507935106133513,0,16130951329600132,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc1f39;0;true;5,507921913670883;43,74399999998875;182,88035396759057;36,60000000000025;4,99673098272102;Module 2,4_1;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1761553064152763,0,4410406930989881,0,6608542436659514,0,8615843027045923,0,9160075933594368,0,9174478568710078,0,9361712825214368,0,8778406103027923,0,8552231388618183,0,7251726780762207,0,4493622156102895,0,22704461715746754,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;2,0000000000000003e-10;0;1;1;140;0,30700000000000005;0,0004;5,455;44,53;72;9,208068729911515;44,79;5,65;0,131604847197419;-0,04474543298220013;3,3265604802271724;1,774814161042427;3,975089241444496;2,8043456375649005;-0,058933689743786745;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1761553064152763,0,20355724296876387,0,21109640011575476,0,36753391091582316,0,4410406930989881,0,4925582669367611,0,554128050303857,0,6106717289062907,0,6608542436659514,0,7251726780762205,0,7774755807834712,0,8163493598226474,0,8615843027045923,0,8778406103027923,0,8778406103027923,0,9160075933594373,0,9541745764160788,0,9499338005208969,0,9361712825214368,0,9160075933594368,0,992341559472722,0,9329706969401664,0,9548947081718652,0,9174478568710078,0,9499338005208969,0,9361712825214368,0,9361712825214368,0,9361712825214368,0,973964863926931,0,9548947081718652,0,9160075933594373,0,8778406103027923,0,8612775799197209,0,8552231388618183,0,8940969179009923,0,8987244312205793,0,8396736272461499,0,8015066441895077,0,7279998620063425,0,7251726780762207,0,6361163842773865,0,5725047458496474,0,5242559182120055,0,4493622156102895,0,3901513823567976,0,316970813704031,0,2657552894314416,0,22704461715746754,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc2b2d;0;true;5,443064137633227;44,34199999998736;183,5154423287503;37,20000000000026;4,933210815288953;Module 2,4_2;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,4071144859375276,0,633289200347264,0,8393856733273409,0,899044489778707,0,9160075933594367,0,9361712825214368,0,8778406103027923,0,8552231388618183,0,7114901747162924,0,48542214649259663,0,19971654027123995,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;2,6000000000000003e-10;0;1;1;185;0,406;0,0004;5,4079999999999995;44,53;72;9,348156063544296;44,74;5,68;0,11558486867669991;-0,014407907088168415;3,590201508816403;2,098641310493022;3,5437283755581714;2,6167139397297956;-0,25581464747700894;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,16397666794705965,0,4071144859375276,0,4493622156102895,0,524255918212005,0,5725047458496474,0,633289200347264,0,6997280227051245,0,7633396611328633,0,7774755807834712,0,8396736272461496,0,8393856733273409,0,845327995106392,0,8778406103027931,0,9160075933594368,0,9361712825214368,0,9174478568710078,0,899044489778707,0,9827998137085625,0,9361712825214368,0,9541745764160793,0,9160075933594367,0,9361712825214368,0,9365046768528187,0,9361712825214368,0,9541745764160798,0,9827998137085625,0,9361712825214368,0,9160075933594373,0,8778406103027923,0,8612775799197209,0,8552231388618183,0,8820813861979755,0,8987244312205792,0,8615843027045919,0,8396736272461496,0,7211986176461439,0,7114901747162924,0,6481185802071483,0,5725047458496473,0,5298352106079953,0,48542214649259663,0,390151382356797,0,31664460017363194,0,26628872036165335,0,19971654027123995,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc31ac;0;true;5,396157621063478;43,86799999998846;179,5048949762947;36,300000000000246;4,945038429098994;Module 2,4_3;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,39863293414716205,0,6219804646267773,0,8396736272461499,0,8987244312205791,0,8987244312205791,0,9160075933594364,0,8778406103027923,0,8396845998491821,0,7251726780762207,0,48542214649259663,0,20355724296876399,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;1,8e-10;0;1;1;140;0,505;0,0004;5,5200000000000005;44,53;72;9,22449281477899;44,68;5,65;0,1171862672919416;-0,02043259912628126;3,4682393387272517;2,3099154311038665;3,3291517776559307;2,3336513686355262;0,19264056018228687;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,24125302870372003,0,39863293414716205,0,4578467309058222,0,5242559182120055,0,583106685587604,0,6219804646267773,0,7124503503906727,0,7633396611328633,0,7769520282038195,0,8396736272461504,0,8552231388618183,0,8396736272461499,0,8772271647330487,0,9361712825214368,0,9174478568710078,0,8987244312205791,0,9160075933594373,0,9736181338222935,0,9361712825214368,0,9361712825214368,0,8987244312205791,0,9160075933594364,0,9174478568710078,0,9174478568710078,0,9541745764160788,0,9548947081718652,0,9499338005208969,0,9160075933594373,0,8778406103027923,0,8612775799197209,0,8396845998491821,0,8778406103027931,0,8947221605009229,0,8453279951063919,0,8085746040148108,0,7279998620063425,0,7251726780762207,0,6361163842773865,0,5725047458496474,0,5202018431423955,0,48542214649259663,0,39765429355596615,0,32261902659200253,0,2765305942217169,0,20355724296876399,0,15549511615669434,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc37ed;0;true;5,50016013602434;44,55899999998685;181,82712937735053;36,50000000000025;4,981565188420529;Module 2,4_4;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,15560385400016075,0,4221928002315102,0,6219804646267773,0,8241241156304803,0,8987244312205791,0,8820813861979758,0,8987244312205792,0,8396736272461496,0,823830728618865,0,6997280227051241,0,4493622156102895,0,18093977152778998,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;2,8e-10;0;1;1;185;0,30700000000000005;0,0004;5,5200000000000005;44,53;72;9,927680431417988;44,85;5,65;0,18590024629981808;-0,017484371654203246;4,424206494987141;1,2453203418912988;4,072253348239731;3,4191750595619883;0,1272213048664284;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,15560385400016075,0,19587583757371607,0,23487374188703516,0,350570807335093,0,4221928002315102,0,47496690026044847,0,5202018431423955,0,583106685587604,0,6219804646267773,0,6997280227051245,0,7489370260171492,0,7774755807834712,0,8241241156304803,0,8396736272461496,0,8552231388618183,0,8778406103027923,0,9174478568710078,0,8987244312205791,0,8987244312205792,0,8987244312205794,0,9548947081718652,0,9160075933594373,0,9361712825214368,0,8820813861979758,0,9160075933594373,0,9188347772895579,0,8987244312205792,0,9361712825214368,0,9541745764160788,0,9361712825214368,0,8940969179009923,0,8396736272461496,0,8396736272461496,0,823830728618865,0,8612775799197209,0,8778406103027923,0,8396736272461498,0,7766754343881541,0,6997280227051246,0,6997280227051241,0,6106717289062905,0,5532581475561268,0,4947571877713003,0,4493622156102895,0,37446851300857453,0,294027128732659,0,24589251002494542,0,18093977152778998,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc3e2d;0;true;5,5108549591894995;43,77099999998869;185,20420631440373;36,60000000000025;5,0602242162405044;Module 2,4_5;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1761553064152763,0,4410406930989881,0,6365964721145767,0,8612775799197205,0,8987244312205791,0,9160075933594367,0,9174478568710078,0,8612775799197209,0,845327995106392,0,7124503503906727,0,4580037966797184,0,18512819216500728,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;3,0000000000000005e-10;0;1;1;185;0,406;0,0004;5,4479999999999995;44,53;72;8,901362892378483;44,59;5,64;0,13318538259457657;0,039919561784620194;3,3763623151710735;2,016208201406615;3,3756069932062176;2,5290214501742225;-0,08915455806002165;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1761553064152763,0,1959455939261285,0,3225083890657364,0,4048740760306383,0,4410406930989881,0,4855950176273876,0,54281931458337,0,5991496208137204,0,6365964721145767,0,7114901747162924,0,7718212129232287,0,8015066441895076,0,8612775799197205,0,8612775799197209,0,8778406103027923,0,9160075933594366,0,9499338005208969,0,9329706969401664,0,9174478568710078,0,8987244312205791,0,9923415594727222,0,9160075933594368,0,9361712825214368,0,9160075933594367,0,9329706969401664,0,9361712825214368,0,9174478568710078,0,9361712825214368,0,9827998137085625,0,9548947081718652,0,8987244312205793,0,8612775799197209,0,845327995106392,0,8552231388618183,0,8778406103027923,0,8987244312205792,0,8552231388618183,0,8015066441895076,0,712450350390674,0,7124503503906727,0,6219804646267773,0,55338124700156,0,5048390323523008,0,4580037966797184,0,3731882787760669,0,29957481040685974,0,24879218585071117,0,18512819216500728,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc4465;0;true;5,4360700294085085;43,617999999989046;179,60408723885888;36,10000000000024;4,975182471990517;Module 2,4_6;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,46600526063289305,0,6332892003472659,0,8396736272461496,0,8990444897787068,0,899044489778707,0,9160075933594368,0,8612775799197209,0,8396736272461499,0,7211986176461439,0,4947571877713003,0,21892005375885928,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;3,2000000000000003e-10;0;1;1;140;0,30700000000000005;0,0004;5,496;44,53;72;10,12145057077845;44,71;5,62;0,11583948395102375;-0,04138623614894632;3,375956481933853;2,894698647699579;3,7349559571939945;2,5956603286161544;-0,08497655731298934;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1849938465973985,0,47571370356274495,0,46600526063289305,0,5298352106079953,0,576958894116915,0,6332892003472659,0,7124503503906727,0,7633396611328633,0,7766754343881541,0,8396736272461496,0,8552231388618183,0,8396736272461499,0,8940969179009923,0,9361712825214368,0,9174478568710078,0,8990444897787068,0,9163338068898349,0,9548947081718653,0,9174478568710078,0,9541745764160788,0,899044489778707,0,9361712825214368,0,9361712825214368,0,9160075933594368,0,954174576416079,0,9736181338222935,0,9361712825214368,0,8987244312205792,0,8612775799197209,0,845327995106392,0,8396736272461499,0,8778406103027931,0,8987244312205791,0,845327995106392,0,823830728618865,0,7211986176461439,0,7251726780762205,0,6365964721145767,0,5876275127211478,0,5298352106079953,0,4947571877713003,0,39943308054247983,0,3225083890657364,0,2818521733759493,0,21892005375885928,0,16441161932092468,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc4a83;0;true;5,483974427031404;43,488999999989346;180,86959841114557;36,40000000000025;4,968945011295174;Module 2,4_7;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1526679322265729,0,4327191705876861,0,6490787558815301,0,8615843027045919,0,9174478568710078,0,9174478568710078,0,9188347772895579,0,8778406103027923,0,8555277055067124,0,6990078909493405,0,46600526063289305,0,195875837573716,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;2,6000000000000003e-10;0;1;1;185;0,406;0,0004;5,378;44,53;72;9,93788225825786;44,87;5,63;0,13011176441632;-0,0039030063272949;4,065017276876965;1,778931812684631;3,963821404279943;2,772809294534826;0,45143479916563045;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,1526679322265729,0,21507935106133513,0,2657552894314416,0,33926207161460625,0,4327191705876861,0,48542214649259663,0,5530611884434338,0,588054257465317,0,6490787558815301,0,7251726780762211,0,7718212129232287,0,8169202335008442,0,8615843027045919,0,8778406103027923,0,880001005570151,0,9160075933594373,0,9541745764160788,0,9499338005208969,0,9361712825214367,0,9174478568710078,0,992341559472722,0,9329706969401664,0,9548947081718652,0,9174478568710078,0,9365046768528182,0,9499338005208969,0,9188347772895579,0,9541745764160788,0,9548947081718652,0,9541745764160788,0,9160075933594373,0,8778406103027923,0,8612775799197209,0,8555277055067124,0,8940969179009923,0,8940969179009923,0,8396736272461499,0,8015066441895076,0,7117435544081432,0,6990078909493405,0,634159103094995,0,554128050303857,0,524255918212005,0,46600526063289305,0,38754167411360774,0,3053358644531454,0,2601009215711978,0,195875837573716,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc5202;0;true;5,366223314735903;43,85699999998849;178,47576608439857;36,300000000000246;4,916687770920038;Module 2,4_8;29,07,2019
1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,4147958913325751,0,6219804646267773,0,8396736272461496,0,8987244312205791,0,8987244312205791,0,9174478568710078,0,8778406103027926,0,8552231388618183,0,7114901747162924,0,4837625835986048,0,2110964001157551,1,3877787807814457e-16,1,3877787807814457e-16,1,1;1;2,8e-10;0;1;1;140;0,406;0,0004;5,5280000000000005;44,53;72;10,195941424023752;44,75;5,66;0,11670199734724322;-0,02039249193263526;3,271034108280319;3,012817234965009;3,7953880834311815;2,4627215128223927;-0,04889881931202964;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,0,2829317653842563,0,4147958913325751,0,4664853484700832,0,5298352106079953,0,5769588941169149,0,6219804646267773,0,7124503503906727,0,7633396611328633,0,7766754343881541,0,8396736272461496,0,8552231388618183,0,8453279951063919,0,8778520816605081,0,9361712825214368,0,9174478568710078,0,8987244312205791,0,9160075933594357,0,9548947081718653,0,9188347772895579,0,9361712825214368,0,8987244312205791,0,9174478568710078,0,9541745764160788,0,9177745833157624,0,9499338005208969,0,9827998137085625,0,954514382176912,0,9160075933594373,0,8778406103027926,0,8612775799197209,0,8552231388618183,0,8778406103027931,0,8987244312205792,0,845327995106392,0,8085746040148108,0,7350678218316475,0,7114901747162924,0,6481185802071483,0,5880542574653176,0,5402096063401802,0,4837625835986048,0,39943308054247945,0,32176553710366396,0,2770640251519286,0,2110964001157551,0,15832230008681644,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,3877787807814457e-16,1,1,1,1,1,1,1,1,1,1;51c81edfc5902;0;true;5,512015155390681;43,746999999988745;180,68211294785078;36,200000000000244;4,991218589719601;Module 2,4_9;29,07,2019
